title,price,phoneContact,companyName,location,imageLink
Luxurious Smart 7 Bedroom Duplex With Bq,"₦800,000,000",08128168772,Oma's Delight Realty,"Guzape District, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/1945649/065203d5a65538-luxurious-smart-7-bedroom-duplex-with-bq-detached-duplexes-for-sale-guzape-district-abuja.jpeg
Luxury Smart Brand New 6 Bedrooms Duplex With Pool,"₦1,200,000,000",08128168772,Oma's Delight Realty,"Guzape District, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2166726/065f85788408f8-luxury-smart-brand-new-6-bedroom-duplex-with-pool-detached-duplexes-for-sale-guzape-district-abuja.jpeg
Newly Built 4 Bedroom Detached Duplex With Bq,"₦350,000,000",07033122411,Leapinglead Services,"Katampe Extension, Katampe, Abuja",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299152/066671dca662c5-newly-built-4bedroom-detached-duplex-with-bq-detached-duplexes-for-sale-katampe-extension-katampe-district-abuja.jpg
Multiple Apartments Building Ideal For Hotel Or Serviced Apartments Business,"₦2,200,000,000",08035960464,Hampton Hills,"Chevvy View Estate, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/1873614/064e746de2f139-luxury-14-units-apartment-edifice-for-rent-lekki-lagos.jpg
Super Distress Of 5bedroom Duplex With 3bedroom Flats,"₦48,000,000",07061004366,Adebamiwa Homes And Properties Ltd,"Idowu Estate, Ajah Lagos, Ajah, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299149/066671d3178c45-super-distress-of-5bedroom-duplex-with-3bedroom-flats-detached-duplexes-for-sale-ajah-lagos.jpeg
5 Bedroom Fully Detached Duplex With Bq,"₦280,000,000",08134007094,Island Seed Nig. Ltd.,"Chevron Axis, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2298606/06666dc6b814c2-5-bedroom-fully-detached-duplex-with-bq-detached-duplexes-for-sale-lekki-lagos.jpg
Brand New & Tastefully Finished 2 Bedroom Terrace Duplex,"₦50,000,000",09063665415,Lobia Properties,"Sangotedo, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299142/066671c34d1756-brand-new-tastefully-finished-23-bedroom-terrace-duplex-terraced-duplexes-for-sale-lekki-lagos.jpeg
Distress 4 Bedroom Semi Detached,"₦90,000,000",08035679912,Tri-homes Limited,"Royal Pine Estate, Lekki, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299139/066671b84340b1-distress-4bedroom-semi-detached-semi-detached-duplexes-for-sale-lekki-lagos.jpeg
Newly Built 4 Bedroom Terrace Duplex,"₦290,000,000",08038592381,Tos Property Services,"Shonibare Estate, Maryland, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299135/066671b401aab8-newly-built-4-bedroom-terrace-duplex-terraced-duplexes-for-sale-maryland-lagos.jpg
An Impeccable Contemporary 4 Bedroom Terrace With 2rooms Bq,"$1,500,000 
approx. ₦2,252,804,916",08074577210,Aruofeg Enterprise,"Banana Island, Ikoyi, Lagos",https://images.nigeriapropertycentre.com/properties/images/thumbs/2299134/066671baf48a87-an-impeccable-contemporary-4-bedroom-terrace-with-2rooms-bq-terraced-duplexes-for-sale-banana-island-ikoyi-lagos.jpg
